startup_name,city,sector,round,amount_cr_inr,announced_date,lead_investor
Payworks36,Bangalore,Fintech,Seed,19.5,2024-11-23,Accel
Shopflow12,Bangalore,Ecommerce,Seed,16.6,2024-07-28,Elevation Capital
Payflow76,Bangalore,Logistics,Seed,20.9,2024-12-15,Kalaari Capital
Chaikart98,Bangalore,Fintech,Series A,64.2,2024-01-03,Matrix Partners
Shopkart,Delhi NCR,Ecommerce,Series C,499.9,2024-01-23,Accel
Datakart,Mumbai,Healthtech,Series B,173.8,2023-03-13,Sequoia India
Payfyi,Bangalore,Fintech,Seed,12.0,2024-04-09,Matrix Partners
Nimbusdesk86,Chennai,AI/ML,Seed,17.6,2024-09-15,Blume Ventures
Datafyi49,Pune,AI/ML,Seed,15.7,2024-12-02,Matrix Partners
Zetafyi,Mumbai,SaaS,Series A,36.0,2024-08-03,Matrix Partners
Vertexagrid83,Bangalore,SaaS,Series A,42.6,2024-07-28,Peak XV
Shopflow,Mumbai,SaaS,Series A,119.8,2023-05-22,Titan Capital
Zetalabs,Pune,Fintech,Seed,20.6,2024-03-08,Accel
Metroflow,Hyderabad,SaaS,Series A,117.4,2023-01-12,Accel
Paykart,Bangalore,SaaS,Series A,69.1,2024-04-09,Sequoia India
Kraftai,Pune,SaaS,Seed,21.7,2024-06-03,Elevation Capital
Nimbusdesk,Gurugram,Ecommerce,Series B,377.2,2024-09-05,Matrix Partners
Finlabs47,Bangalore,Fintech,Seed,9.1,2024-08-03,Accel
Zetagrid,Hyderabad,Logistics,Pre-Seed,1.6,2024-11-06,Titan Capital
Dataai78,Bangalore,Healthtech,Series A,98.0,2024-12-07,Elevation Capital
Kraftflow,Mumbai,Ecommerce,Series B,371.9,2024-04-07,Accel
Vertexafyi3,Hyderabad,SaaS,Series B,284.8,2023-01-08,Accel
Paylabs5,Bangalore,Ecommerce,Series A,51.4,2024-11-16,Titan Capital
Vertexaai,Hyderabad,Ecommerce,Series B,188.0,2024-04-29,Kalaari Capital
Vertexaworks56,Delhi NCR,Edtech,Series A,72.0,2023-02-25,Accel
Zetaflow,Bangalore,SaaS,Seed,8.0,2024-04-04,Blume Ventures
Metroai32,Delhi NCR,Healthtech,Seed,6.1,2024-10-29,Sequoia India
Zetafyi63,Bangalore,Edtech,Series A,111.2,2023-06-18,Kalaari Capital
Zetaflow59,Delhi NCR,AI/ML,Seed,24.1,2024-07-23,Titan Capital
Nimbusfyi8,Gurugram,Healthtech,Series B,137.1,2023-11-18,Sequoia India
Dataai66,Bangalore,Fintech,Seed,16.5,2024-11-22,Elevation Capital
Metroworks,Bangalore,Healthtech,Series B,286.5,2024-09-26,Accel
Metrodesk,Chennai,AI/ML,Seed,10.6,2023-09-29,Kalaari Capital
Nimbuskart97,Bangalore,Ecommerce,Seed,17.0,2024-07-30,Accel
Vertexadesk57,Chennai,SaaS,Series B,291.3,2024-10-31,Sequoia India
Nimbusai14,Hyderabad,Fintech,Pre-Seed,2.4,2024-09-11,Elevation Capital
Chaifyi,Delhi NCR,Ecommerce,Seed,9.3,2023-02-22,Accel
Payflow,Bangalore,Edtech,Seed,20.2,2024-10-14,Peak XV
Nimbusgrid,Hyderabad,Fintech,Series A,40.1,2024-12-08,Blume Ventures
Datalabs,Hyderabad,Fintech,Series B,240.3,2023-02-12,Peak XV
Chailabs,Chennai,SaaS,Seed,18.0,2023-12-29,Kalaari Capital
Shopai,Bangalore,SaaS,Seed,22.5,2023-01-26,Blume Ventures
Chaiflow,Bangalore,SaaS,Series C,527.4,2024-12-19,Accel
Metrolabs,Bangalore,Ecommerce,Seed,11.3,2023-08-22,Elevation Capital
Zetafyi36,Gurugram,SaaS,Seed,11.4,2024-06-05,Kalaari Capital
Paydesk,Mumbai,SaaS,Seed,16.2,2023-09-29,Sequoia India
Nimbusflow41,Pune,Ecommerce,Series A,40.4,2024-08-13,Elevation Capital
Kraftlabs,Delhi NCR,Ecommerce,Seed,18.4,2024-11-17,Elevation Capital
Chaiflow86,Pune,Edtech,Series A,89.7,2023-05-08,Peak XV
Dataai86,Chennai,Logistics,Series A,111.3,2024-09-22,Peak XV
Metrolabs27,Hyderabad,Healthtech,Series A,88.9,2024-04-21,Titan Capital
Finfyi,Bangalore,AI/ML,Series C,467.8,2024-06-11,Matrix Partners
Vertexafyi6,Delhi NCR,Healthtech,Seed,21.8,2023-03-16,Titan Capital
Metrofyi,Delhi NCR,Edtech,Series A,52.0,2024-11-02,Sequoia India
Nimbusflow90,Delhi NCR,Fintech,Series A,80.2,2023-05-05,Titan Capital
Datadesk,Pune,Logistics,Series A,110.3,2024-03-12,Titan Capital
Nimbusgrid97,Pune,SaaS,Seed,20.1,2024-06-17,Titan Capital
Payfyi10,Mumbai,SaaS,Series C,617.4,2023-11-24,Accel
Nimbusai89,Chennai,SaaS,Seed,5.3,2024-02-22,Matrix Partners
Datagrid27,Mumbai,Logistics,Series A,82.6,2024-12-13,Sequoia India
Shopflow46,Gurugram,Edtech,Seed,21.9,2024-03-05,Elevation Capital
Finfyi63,Mumbai,Edtech,Seed,18.0,2024-02-19,Blume Ventures
Finai,Bangalore,Edtech,Series B,285.7,2024-11-09,Sequoia India
Zetaflow60,Bangalore,SaaS,Seed,12.0,2023-08-05,Titan Capital
Chaidesk,Mumbai,Logistics,Series A,115.6,2024-03-07,Peak XV
Zetagrid70,Mumbai,SaaS,Seed,17.7,2024-10-29,Sequoia India
Zetafyi3,Bangalore,SaaS,Series B,155.3,2024-11-16,Accel
Shopfyi33,Mumbai,Fintech,Pre-Seed,4.0,2023-04-28,Blume Ventures
Kraftworks,Hyderabad,AI/ML,Seed,23.1,2024-01-20,Kalaari Capital
Vertexaworks,Bangalore,Fintech,Series B,315.2,2023-11-05,Accel
Shoplabs55,Mumbai,Fintech,Series B,261.7,2023-12-16,Sequoia India
Metrogrid47,Delhi NCR,AI/ML,Series B,162.8,2023-06-30,Peak XV
Shopgrid94,Mumbai,Edtech,Series B,358.5,2023-03-30,Peak XV
Shopflow64,Bangalore,Ecommerce,Series A,49.1,2023-09-22,Matrix Partners
Kraftkart,Bangalore,Fintech,Series A,51.7,2024-02-21,Titan Capital
Datafyi,Chennai,Ecommerce,Series B,245.5,2023-01-18,Accel
Kraftfyi32,Pune,Healthtech,Seed,11.7,2024-07-20,Matrix Partners
Metrodesk59,Mumbai,SaaS,Seed,8.8,2023-07-17,Matrix Partners
Nimbusai95,Mumbai,Logistics,Series A,83.1,2024-06-21,Peak XV
Nimbusfyi47,Mumbai,Fintech,Seed,18.9,2023-05-10,Peak XV
Nimbusgrid2,Mumbai,Ecommerce,Series B,254.0,2023-12-15,Blume Ventures
Zetakart,Bangalore,Fintech,Series A,66.1,2023-03-17,Sequoia India
Nimbusai,Bangalore,SaaS,Seed,6.5,2024-03-02,Elevation Capital
Dataflow57,Hyderabad,Edtech,Seed,10.4,2024-09-27,Sequoia India
Shopworks,Pune,SaaS,Seed,9.6,2023-03-25,Blume Ventures
